,MSIScore,Ploidy,LoHFraction,WGD,CIN,Aneuploidy
PR-c659kW,3.68,3.34666795196586,0.102563390635784,1.0,0.461073411858285,20.0
PR-ebX2pq,2.21,3.22925755753283,0.110841244136216,1.0,0.511091667873324,19.0
PR-phRbn2,2.87,4.96165838521464,0.213305240663049,1.0,0.763144185572381,36.0
PR-7bX1tr,2.48,2.53510328062808,0.221134622568779,0.0,0.558662683131502,28.0
PR-zPqDkT,2.07,,,,,
PR-dugN3L,66.49,2.14794446417602,0.0616815500528704,0.0,0.215905514507665,6.0
PR-Gutdfk,1.66,2.25655115555158,0.0110436608945607,0.0,0.222472442108768,9.0
PR-ZaxePm,2.96,3.6032803094274,0.250913618145005,1.0,0.722421513093282,31.0
PR-bv1kx8,1.28,,,,,
PR-meswUv,4.76,2.52341706326395,0.205977260959235,0.0,0.352182577740658,33.0
PR-g5rswH,2.19,2.63462549676927,0.428959546770848,1.0,0.580547628821765,27.0
PR-GzomD6,2.39,3.62921239223873,0.0344723957661105,1.0,0.467391023694339,28.0
PR-sX8XAW,2.49,2.08879456905962,0.0737484269152537,0.0,0.215783016038533,6.0
PR-2ei6MD,2.66,,,,,
PR-PV4SRx,3.09,3.46527167416162,0.211529663481071,1.0,0.633385424148328,23.0
PR-ciP7m4,2.0,3.89855430795317,0.196946151212414,1.0,0.524800517850251,15.0
PR-Zvl13h,2.68,,,,,
PR-rsoNmY,90.46,4.50499849667952,0.0100110765574463,1.0,0.179433387629839,36.0
PR-KZi9zg,2.23,,,,,
PR-O5LkYZ,2.62,2.57106257711586,0.464890455613473,1.0,0.698414166399167,26.0
PR-ZMEDE0,0.87,2.82663314964444,0.339925462995404,1.0,0.48491703423138,20.0
PR-YNAqeW,2.21,2.05304628841582,0.0104021816241977,0.0,0.0713914912304369,2.0
PR-2tnlh5,2.15,2.313866915953,0.0216371971647654,0.0,0.0617477138695421,1.0
PR-HnL4XR,2.08,3.61520907455303,0.0769625824029473,1.0,0.550358258969594,29.0
PR-yQJScO,2.33,2.70269104038885,0.0347067611848414,0.0,0.456529980388166,18.0
PR-Mrn0df,24.59,,,,,
PR-aiOQBz,1.21,,,,,
PR-JSUJXv,0.7,2.19511315282739,0.629599226985043,1.0,0.516663963695035,9.0
PR-lhMBt6,2.31,,,,,
PR-jL0LWf,1.78,3.71701228944231,0.0475369939683234,1.0,0.52892192000977,28.0
