Unnamed: 0,MSIScore,Ploidy,LoHFraction,WGD,CIN,Aneuploidy
PR-7bX1tr,2.48,2.53510328062808,0.221134622568779,0.0,0.558662683131502,28.0
PR-dugN3L,66.49,2.14794446417602,0.0616815500528704,0.0,0.215905514507665,6.0
PR-Gutdfk,1.66,2.25655115555158,0.0110436608945607,0.0,0.222472442108768,9.0
PR-meswUv,4.76,2.52341706326395,0.205977260959235,0.0,0.352182577740658,33.0
PR-sX8XAW,2.49,2.08879456905962,0.0737484269152537,0.0,0.215783016038533,6.0
PR-YNAqeW,2.21,2.05304628841582,0.0104021816241977,0.0,0.0713914912304369,2.0
PR-2tnlh5,2.15,2.313866915953,0.0216371971647654,0.0,0.0617477138695421,1.0
PR-yQJScO,2.33,2.70269104038885,0.0347067611848414,0.0,0.456529980388166,18.0
PR-D8ybEK,1.76,2.25779137169978,0.0093198666984649,0.0,0.0175566706334687,0.0
PR-BVJyOj,2.08,2.17943486578167,0.242463466942001,0.0,0.399640126696893,10.0
PR-R1zayg,0.8,1.90307065915482,0.474598175976167,0.0,0.598909746053575,14.0
PR-pzvZFc,2.72,2.18145714348737,0.0242537357464543,0.0,0.126913324055698,2.0
PR-oOIkJ2,2.0,2.37806305386851,0.175281723556808,0.0,0.502733830803149,14.0
PR-240v4w,2.07,2.04758822960288,0.0017710476701656,0.0,0.0538216344905667,1.0
PR-qJdgaX,2.14,2.09811504940349,0.0192383071452373,0.0,0.108936692027689,6.0
PR-urWkad,1.4,2.51067663905147,0.233458259625705,0.0,0.633665808292152,29.0
PR-YkFyBd,2.27,2.3276312964609,0.105114568104579,0.0,0.248935562865297,5.0
PR-9KlLER,4.77,2.0310492463766,0.0851899672409663,0.0,0.12728809841754,4.0
PR-FNo80s,3.15,2.34962365493548,0.0641474683424678,0.0,0.166507520167223,4.0
PR-4VyVNa,2.36,2.28270273372808,0.0887815542756917,0.0,0.152728044343144,5.0
PR-JEv1oA,3.2,2.10483492083166,0.0147636158250605,0.0,0.0188783901625431,0.0
PR-3fpunT,1.47,2.04941079313101,0.0823902535861586,0.0,0.126737771783096,2.0
PR-BSfH86,2.66,1.9499166787914,0.293003396333374,0.0,0.417865197275658,10.0
PR-7CTAVs,2.06,2.09643861491348,0.0221703108394715,0.0,0.026690450700207,0.0
PR-0H05VY,2.36,2.02662085099226,0.0028900325605014,0.0,0.0309510232144463,1.0
PR-Y2Q9WR,2.0,2.6957748224918,0.0909567741802513,0.0,0.49305777225199,22.0
PR-VPHL4s,2.0,2.01583320790759,0.112776763251901,0.0,0.20848528516281,8.0
PR-5bw8Sw,2.29,2.1064819243758,0.0223639652248165,0.0,0.0279740219543262,0.0
PR-Cc6WwT,1.88,2.04751770586786,0.0056671625033116,0.0,0.0118031536733753,0.0
PR-Gtgm4G,4.02,2.16571745583424,0.0733774295806316,0.0,0.21159633775923,8.0
PR-maqskN,1.04,1.98975657677419,0.365949324454781,0.0,0.4263996599322,9.0
PR-V0CO22,2.05,1.94784668173965,0.0874343745485852,0.0,0.131417909148872,7.0
PR-MdYnGF,3.07,2.2650779555862,0.117813092492862,0.0,0.156822134851494,5.0
PR-tbjuMc,40.89,2.10869557541688,0.0621005732836071,0.0,0.152164866906412,5.0
PR-Y6KPlY,59.91,2.11291927523018,0.0589784617679525,0.0,0.0995235602979148,1.0
PR-u1G9JO,2.39,2.11399081120769,0.157635322527253,0.0,0.241969838329709,9.0
PR-Y4M65x,3.06,2.52422936571437,0.0875410880773226,0.0,0.510941490223289,24.0
PR-waV5HO,2.22,2.18972516640639,0.0636688461045357,0.0,0.266242570317815,10.0
PR-RNtGZ6,2.59,2.24607216316297,0.0959357158946376,0.0,0.151940546386504,4.0
PR-tEpLCL,2.11,2.0227511928191,0.0029265243873385,0.0,0.0300173299845324,1.0
PR-GoN0Kn,1.79,2.13976576264111,0.0620847135191337,0.0,0.107766600220155,3.0
PR-Oa5yYx,30.31,2.03004017026182,0.014457666871237,0.0,0.0491902858098935,1.0
PR-wcXD7g,2.75,2.11218423180187,0.0084312371660811,0.0,0.0129294136916681,0.0
PR-lt3s9Y,1.91,2.2516939995515,0.0942938397266632,0.0,0.218490904908601,6.0
PR-IDBCK9,2.23,2.00114495628781,0.0,0.0,0.0003684748205527,0.0
PR-K3zX9w,1.97,2.16077260172904,0.239999437954322,0.0,0.411330136187871,9.0
PR-gkmgBd,2.78,2.54895772814296,0.153070869198109,0.0,0.522117105957436,27.0
PR-Yf6hXD,2.02,2.14610124513113,0.0094600304190802,0.0,0.0514899488794708,1.0
PR-zy5agd,2.55,2.18608557091475,0.0382234476432423,0.0,0.226645072680991,11.0
PR-JaOGpt,2.45,2.07482081954456,0.0874746516157299,0.0,0.144275780386188,6.0
PR-iXWzlb,2.22,1.95868974271795,0.270290129780818,0.0,0.342442202118128,12.0
PR-uSMhrI,2.57,2.16179552989392,0.0937467895101428,0.0,0.172357719280457,2.0
PR-ty3Lml,2.56,2.12154379043397,0.0096819556238737,0.0,0.0161459889834439,0.0
PR-pnv2Q0,2.28,2.06329343239231,0.132396133163975,0.0,0.277410109682943,9.0
PR-oBE1tw,2.18,2.25002607224826,0.0229683266403135,0.0,0.20608763194412,6.0
PR-72Va7n,54.51,1.96811426948103,0.0736592868224331,0.0,0.105701678944294,2.0
PR-mqIBwn,2.13,2.06667600348288,0.0532517776635668,0.0,0.0586229537808187,1.0
