Unnamed: 0,MSIScore,Ploidy,LoHFraction,WGD,CIN,Aneuploidy
PR-c659kW,3.68,3.34666795196586,0.102563390635784,1.0,0.461073411858285,20.0
PR-ebX2pq,2.21,3.22925755753283,0.110841244136216,1.0,0.511091667873324,19.0
PR-phRbn2,2.87,4.96165838521464,0.213305240663049,1.0,0.763144185572381,36.0
PR-ZaxePm,2.96,3.6032803094274,0.250913618145005,1.0,0.722421513093282,31.0
PR-g5rswH,2.19,2.63462549676927,0.428959546770848,1.0,0.580547628821765,27.0
PR-GzomD6,2.39,3.62921239223873,0.0344723957661105,1.0,0.467391023694339,28.0
PR-PV4SRx,3.09,3.46527167416162,0.211529663481071,1.0,0.633385424148328,23.0
PR-ciP7m4,2.0,3.89855430795317,0.196946151212414,1.0,0.524800517850251,15.0
PR-rsoNmY,90.46,4.50499849667952,0.0100110765574463,1.0,0.179433387629839,36.0
PR-O5LkYZ,2.62,2.57106257711586,0.464890455613473,1.0,0.698414166399167,26.0
PR-ZMEDE0,0.87,2.82663314964444,0.339925462995404,1.0,0.48491703423138,20.0
PR-HnL4XR,2.08,3.61520907455303,0.0769625824029473,1.0,0.550358258969594,29.0
PR-JSUJXv,0.7,2.19511315282739,0.629599226985043,1.0,0.516663963695035,9.0
PR-jL0LWf,1.78,3.71701228944231,0.0475369939683234,1.0,0.52892192000977,28.0
PR-Gjnn57,2.38,3.90089822792482,0.324558554086243,1.0,0.711777850552209,24.0
PR-sbeUkh,1.67,3.80648817322323,0.173789349894003,1.0,0.649593858251448,23.0
PR-5NFOUr,2.07,2.97286368105331,0.511337178974751,1.0,0.681036609460937,20.0
PR-vg2xl6,2.95,3.25052134037945,0.268534659769485,1.0,0.618428085102485,26.0
PR-GsPeEV,2.55,3.10240175918314,0.233716197468687,1.0,0.669698902803956,24.0
PR-ptLF3i,1.64,4.45366813618149,0.175172178229395,1.0,0.819957685568947,23.0
PR-mdehro,2.38,2.67840330838277,0.352123238250431,1.0,0.690101292839052,25.0
PR-wTKq7j,0.87,4.61908824727153,0.25204949316948,1.0,0.749941700599502,25.0
PR-Z7RHS2,2.65,3.03395633328881,0.319049159894401,1.0,0.484828962549768,13.0
PR-RG9TgA,2.17,3.51446755689069,0.280133473677046,1.0,0.614002473060986,31.0
PR-BTEHU6,1.99,3.43764761958485,0.323887473479145,1.0,0.741937347275692,18.0
