DepMap_ID,p53,RAD51,DepMap_ID_norm,PR_ID_norm,WGD
ACH-000004,-0.1065961955162391,4.85598969730848,ACH-000004,PR-DGBP1M,oui
ACH-000004,-0.1065961955162391,4.85598969730848,ACH-000004,PR-RZU8KD,oui
ACH-000005,0.0042917505041772,5.7713574089905615,ACH-000005,PR-7DTCVD,oui
ACH-000005,0.0042917505041772,5.7713574089905615,ACH-000005,PR-DPW9OL,oui
ACH-000005,0.0042917505041772,5.7713574089905615,ACH-000005,PR-ZMEDE0,oui
ACH-000007,0.6525115059385577,4.104336659814735,ACH-000007,PR-XBYMRS,non
ACH-000009,-0.2591779889894001,4.85598969730848,ACH-000009,PR-2TYUX5,oui
ACH-000009,-0.2591779889894001,4.85598969730848,ACH-000009,PR-LZ47PG,oui
ACH-000011,1.1730035430431962,2.799087306074004,ACH-000011,PR-YG65FA,oui
ACH-000012,0.0205266352670552,4.118525848935668,ACH-000012,PR-SRIORA,oui
ACH-000012,0.0205266352670552,4.118525848935668,ACH-000012,PR-ANC3MY,oui
ACH-000013,-0.0167318206898311,4.765004246250036,ACH-000013,PR-S6XFW4,oui
ACH-000013,-0.0167318206898311,4.765004246250036,ACH-000013,PR-YFRI6X,oui
ACH-000014,1.4976859850223558,3.097610796626422,ACH-000014,PR-OLJ6GO,oui
ACH-000017,0.0288669866482771,5.117279460053921,ACH-000017,PR-44UGOS,oui
ACH-000018,0.029142815932093,5.12267271882414,ACH-000018,PR-YX8AAK,oui
ACH-000018,0.029142815932093,5.12267271882414,ACH-000018,PR-GCYY2L,oui
ACH-000019,0.5870436241960788,4.0900065299038175,ACH-000019,PR-NO7VWQ,oui
ACH-000019,0.5870436241960788,4.0900065299038175,ACH-000019,PR-SJNFT9,oui
ACH-000019,0.5870436241960788,4.0900065299038175,ACH-000019,PR-VLTXHP,oui
ACH-000021,0.0384919283710613,3.9457949567400608,ACH-000021,PR-7ZN9JP,oui
ACH-000021,0.0384919283710613,3.9457949567400608,ACH-000021,PR-EVFKJZ,oui
ACH-000022,0.1407748692078946,3.802193216941825,ACH-000022,PR-A0TOIQ,oui
ACH-000022,0.1407748692078946,3.802193216941825,ACH-000022,PR-XCYXTZ,oui
ACH-000024,-0.0115358717371043,3.593353770980297,ACH-000024,PR-PLVTVW,oui
ACH-000024,-0.0115358717371043,3.593353770980297,ACH-000024,PR-AMM3ZQ,oui
ACH-000025,-0.145542690445011,4.428276414392509,ACH-000025,PR-AT5O0P,oui
ACH-000028,0.6176638428317864,4.4356285940520905,ACH-000028,PR-LWCPSZ,oui
ACH-000029,0.062820255572052,3.3868109464722167,ACH-000029,PR-CQHV2J,oui
ACH-000030,-0.4149417046290609,3.871843648509318,ACH-000030,PR-X8SCBT,oui
ACH-000030,-0.4149417046290609,3.871843648509318,ACH-000030,PR-PODIAB,oui
ACH-000035,-0.0693366768140652,4.828834649468056,ACH-000035,PR-JSUJXV,oui
ACH-000035,-0.0693366768140652,4.828834649468056,ACH-000035,PR-GVEJHZ,oui
ACH-000036,0.7217685823246354,3.324810603420484,ACH-000036,PR-53YU7G,oui
ACH-000036,0.7217685823246354,3.324810603420484,ACH-000036,PR-5PZ3PE,oui
ACH-000037,0.1521743220657886,3.881664619320345,ACH-000037,PR-CNTFXE,oui
ACH-000039,-0.05430761445463,4.623515741490549,ACH-000039,PR-TGNS2W,non
ACH-000040,0.4998231123946811,4.841469999465799,ACH-000040,PR-562G0G,oui
ACH-000041,0.2689159221474684,4.850999394716474,ACH-000041,PR-C4VJHK,oui
ACH-000041,0.2689159221474684,4.850999394716474,ACH-000041,PR-EBX2PQ,oui
ACH-000042,-0.0535258343150243,3.4802651220544627,ACH-000042,PR-DMHCFE,oui
ACH-000042,-0.0535258343150243,3.4802651220544627,ACH-000042,PR-VQ5EEE,oui
ACH-000045,0.7017492169972606,4.804260115634738,ACH-000045,PR-4L7Y7C,non
ACH-000048,0.2416752572898397,4.2539892662307865,ACH-000048,PR-ZRKQJO,oui
ACH-000048,0.2416752572898397,4.2539892662307865,ACH-000048,PR-KYEOP9,oui
ACH-000052,0.0419566650009432,5.2861418728343015,ACH-000052,PR-CZPORM,non
ACH-000052,0.0419566650009432,5.2861418728343015,ACH-000052,PR-GCB400,oui
ACH-000052,0.0419566650009432,5.2861418728343015,ACH-000052,PR-XZ0NKH,non
ACH-000053,0.3319482203275171,5.102238193930738,ACH-000053,PR-XMXZWF,non
ACH-000054,1.2066562109175392,4.198494153639083,ACH-000054,PR-240V4W,non
ACH-000055,0.3424554075191952,4.530445354692906,ACH-000055,PR-ZR0JBJ,non
ACH-000060,0.111837268565504,4.954196310386875,ACH-000060,PR-3F91XT,non
ACH-000067,-0.0289350139515471,4.16430358309365,ACH-000067,PR-GZKVWH,non
ACH-000070,0.6847038697340839,5.021479727410452,ACH-000070,PR-G96FHP,non
ACH-000074,0.2326933879166924,4.797531839571962,ACH-000074,PR-RGCMOY,oui
ACH-000074,0.2326933879166924,4.797531839571962,ACH-000074,PR-0C2LNY,oui
ACH-000075,0.8442132783666936,4.369466483650723,ACH-000075,PR-L4JGXA,non
ACH-000076,0.0775608299157001,4.746850183098051,ACH-000076,PR-8Q87BY,oui
ACH-000076,0.0775608299157001,4.746850183098051,ACH-000076,PR-TRX6QN,oui
ACH-000077,0.7045999290902057,5.062208077560245,ACH-000077,PR-0H05VY,non
ACH-000077,0.7045999290902057,5.062208077560245,ACH-000077,PR-30ICKX,non
ACH-000078,0.6625966243326953,3.41006969175638,ACH-000078,PR-R0B4CZ,non
ACH-000082,0.0795826134394196,5.107269393592545,ACH-000082,PR-XXY3AP,oui
ACH-000082,0.0795826134394196,5.107269393592545,ACH-000082,PR-1JU43A,oui
ACH-000085,0.2115355999446857,4.358958825832329,ACH-000085,PR-6OLVAX,oui
ACH-000085,0.2115355999446857,4.358958825832329,ACH-000085,PR-IK1NQP,oui
ACH-000086,0.2306321890906226,4.737145919776202,ACH-000086,PR-EQDPB5,oui
ACH-000086,0.2306321890906226,4.737145919776202,ACH-000086,PR-MKGNRD,oui
ACH-000087,0.1286579751888272,5.110196177754199,ACH-000087,PR-HN4FOZ,non
ACH-000087,0.1286579751888272,5.110196177754199,ACH-000087,PR-BFKP19,non
ACH-000092,0.0785138284182987,4.937344392150233,ACH-000092,PR-U3PZT9,oui
ACH-000093,2.104001850738933,4.169123281476757,ACH-000093,PR-SWG0HH,oui
ACH-000096,2.259336461185148,4.718087583960517,ACH-000096,PR-R3HXM0,non
ACH-000096,2.259336461185148,4.718087583960517,ACH-000096,PR-OSNEV7,non
ACH-000096,2.259336461185148,4.718087583960517,ACH-000096,PR-PYHFY7,non
ACH-000097,1.0981739623940032,4.147306698780294,ACH-000097,PR-HJCEXB,oui
ACH-000097,1.0981739623940032,4.147306698780294,ACH-000097,PR-UP1TUS,oui
ACH-000098,-0.003430258950391,4.752213367865143,ACH-000098,PR-HZEIFO,oui
ACH-000099,0.5785811998238709,4.681449265314958,ACH-000099,PR-4MCOFQ,non
ACH-000099,0.5785811998238709,4.681449265314958,ACH-000099,PR-QSWCPE,non
ACH-000099,0.5785811998238709,4.681449265314958,ACH-000099,PR-UUWC6D,non
ACH-000101,0.2204364279498077,5.433627167084783,ACH-000101,PR-3FPUNT,non
ACH-000101,0.2204364279498077,5.433627167084783,ACH-000101,PR-ERMWZJ,non
ACH-000108,-0.0428198087105757,4.095924419998536,ACH-000108,PR-GQNHEN,oui
ACH-000111,-0.0652070709198395,3.969012307516316,ACH-000111,PR-V9P7AN,oui
ACH-000113,0.8811696508207424,4.646738698307846,ACH-000113,PR-X05CZT,non
ACH-000113,0.8811696508207424,4.646738698307846,ACH-000113,PR-ITLG7X,non
ACH-000114,0.1421780800379442,2.3045110418099526,ACH-000114,PR-NQ0Q5F,oui
ACH-000114,0.1421780800379442,2.3045110418099526,ACH-000114,PR-CISKZW,oui
ACH-000115,0.1825558845747374,3.747387399652718,ACH-000115,PR-ZLHVP0,oui
ACH-000116,0.1305814491014404,4.694323060125386,ACH-000116,PR-EJK0ZK,oui
ACH-000118,0.150353475937382,4.51096191927738,ACH-000118,PR-EY4YYH,non
ACH-000120,0.6157282690054285,4.667892125230234,ACH-000120,PR-MYGVBI,non
ACH-000123,0.965185386000014,4.308156975114762,ACH-000123,PR-44QNXX,non
ACH-000123,0.965185386000014,4.308156975114762,ACH-000123,PR-EFSHRO,non
ACH-000127,0.1804605490684517,3.899175630480513,ACH-000127,PR-MDHIPK,oui
ACH-000127,0.1804605490684517,3.899175630480513,ACH-000127,PR-TGHTML,oui
ACH-000128,0.0231253457927191,4.477677327565307,ACH-000128,PR-D2AXQ2,oui
ACH-000128,0.0231253457927191,4.477677327565307,ACH-000128,PR-OQZKYM,oui
ACH-000132,0.038455471012436,3.995484518877507,ACH-000132,PR-PZ76CI,oui
ACH-000132,0.038455471012436,3.995484518877507,ACH-000132,PR-UJVCEY,oui
ACH-000132,0.038455471012436,3.995484518877507,ACH-000132,PR-KXBTVC,oui
ACH-000133,0.0342789861298182,4.521050736900963,ACH-000133,PR-E7YKXF,oui
